"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.915494800E-2,6.500373980E1,2.547191750E1,1.153690168E1,NaN,NaN,5.797339478E2,1.175503311E2
3.336930832E0,6.500369363E1,2.547288934E1,7.332207550E0,5.799999833E-1,1.191999969E2,1.193875694E1,1.549757767E1
4.099281718E0,6.500379196E1,2.547273231E1,1.214362294E1,3.899999857E-1,3.465000000E2,1.283709431E1,1.219676399E1
5.099143175E0,6.500379467E1,2.547271214E1,1.221918217E1,7.599999905E-1,3.485000000E2,9.879874229E0,8.430704117E0
6.098789894E0,6.500379457E1,2.547265552E1,4.337647864E0,8.000000119E-1,3.350000000E2,5.894748211E0,4.416258335E0
7.099483435E0,6.500381300E1,2.547265341E1,5.584650055E0,1.440000057E0,2.460000038E1,5.238675594E0,3.635244846E0
8.098576351E0,6.500382688E1,2.547264424E1,4.332019726E0,8.299999833E-1,5.500000000E0,4.936107159E0,3.093287468E0
9.099403122E0,6.500383827E1,2.547263818E1,5.915511139E0,1.120000005E0,3.099999905E0,4.492784023E0,2.900754213E0
1.009934182E1,6.500384952E1,2.547263434E1,6.633219053E0,1.159999967E0,3.577000122E2,4.331232071E0,2.769017935E0
1.109861630E1,6.500385100E1,2.547264446E1,1.003959121E1,5.199999809E-1,3.280000000E2,4.862202168E0,3.239815950E0
1.209880062E1,6.500385437E1,2.547263579E1,8.553932647E0,8.999999762E-1,3.162999878E2,5.098050117E0,3.340994596E0
1.309940734E1,6.500386233E1,2.547262246E1,7.930332609E0,1.120000005E0,3.230000000E2,5.418486118E0,3.601136923E0
1.409912895E1,6.500387321E1,2.547261150E1,7.198760427E0,1.169999957E0,3.317999878E2,5.905121803E0,3.862233639E0
1.509878963E1,6.500388499E1,2.547262951E1,7.603847454E0,1.149999976E0,3.408999939E2,5.907018185E0,3.997597218E0
1.609863828E1,6.500389777E1,2.547264865E1,6.677696383E0,1.169999957E0,3.487999878E2,6.237749100E0,4.201634407E0
1.709887156E1,6.500391260E1,2.547266999E1,6.123859131E0,1.269999981E0,7.599999905E0,6.682004929E0,4.613332272E0
1.809930223E1,6.500392479E1,2.547269458E1,5.424271129E0,1.110000014E0,1.219999981E1,6.621901989E0,4.437153339E0
1.909954765E1,6.500393396E1,2.547271799E1,5.672010851E0,1.000000000E0,1.770000076E1,7.214556217E0,4.590011597E0
2.009952385E1,6.500394450E1,2.547272856E1,5.436106666E0,1.139999986E0,3.585000000E2,6.592082977E0,4.375232697E0
2.109867109E1,6.500395340E1,2.547273433E1,5.598213049E0,9.599999785E-1,3.581000061E2,6.511401653E0,4.224205971E0
2.209886395E1,6.500396178E1,2.547274518E1,6.062382939E0,1.009999990E0,1.800000000E1,6.410516262E0,4.088331699E0
2.309909213E1,6.500396939E1,2.547275722E1,6.857974093E0,9.399999976E-1,2.350000000E1,6.151737690E0,3.754313946E0
2.409932942E1,6.500397929E1,2.547276738E1,8.081176569E0,1.120000005E0,3.139999962E1,5.337532043E0,3.270507097E0
2.509878577E1,6.500398793E1,2.547276959E1,7.153439075E0,1.019999981E0,3.479999924E1,4.724523067E0,2.839380026E0
2.609893879E1,6.500399701E1,2.547277613E1,7.167230010E0,1.090000033E0,3.359999847E1,4.366974354E0,2.542298555E0
2.709891926E1,6.500400564E1,2.547278484E1,7.198965589E0,1.049999952E0,2.900000000E1,4.161877632E0,2.500000000E0
2.809863093E1,6.500401630E1,2.547278830E1,8.043932491E0,1.090000033E0,2.200000000E1,4.183364868E0,2.500000000E0
2.909931041E1,6.500402735E1,2.547278881E1,8.017683238E0,1.129999995E0,1.870000076E1,4.344326019E0,2.500000000E0
3.009893160E1,6.500403597E1,2.547279562E1,8.362834227E0,1.070000052E0,2.850000000E1,4.267820835E0,2.500000000E0
3.109920452E1,6.500404430E1,2.547281535E1,8.181863099E0,1.080000043E0,3.359999847E1,4.329721451E0,2.500000000E0
3.209862072E1,6.500405274E1,2.547282612E1,7.225439700E0,1.159999967E0,2.889999962E1,4.829944611E0,2.727811813E0
3.309877353E1,6.500406108E1,2.547283726E1,6.284458258E0,1.220000029E0,3.409999847E1,5.024672985E0,3.142361641E0
3.409882394E1,6.500406834E1,2.547285799E1,5.774630175E0,1.289999962E0,5.400000000E1,5.523946762E0,3.609309673E0
3.509930577E1,6.500407381E1,2.547288237E1,6.101961203E0,1.289999962E0,5.920000076E1,6.695074081E0,4.321921825E0
3.609930077E1,6.500407729E1,2.547289186E1,5.779023481E0,4.499999881E-1,3.459999847E1,6.388794899E0,4.565714359E0
3.709934452E1,6.500408748E1,2.547289437E1,6.108426536E0,1.149999976E0,3.390000000E2,6.479945183E0,4.761113167E0
3.809931592E1,6.500409838E1,2.547289204E1,5.709435462E0,1.039999962E0,3.441000061E2,7.279024601E0,5.141382694E0
3.909943983E1,6.500411269E1,2.547289173E1,4.974322624E0,1.210000038E0,3.523999939E2,7.291150570E0,4.981937408E0
4.009863295E1,6.500412678E1,2.547289672E1,4.628919678E0,1.220000029E0,3.572999878E2,7.898646355E0,5.035795212E0
4.109873462E1,6.500413952E1,2.547290323E1,4.800851323E0,1.220000029E0,2.200000048E0,8.866662979E0,5.186247826E0
4.209895504E1,6.500414987E1,2.547293123E1,5.636847734E0,1.309999943E0,3.179999924E1,7.004717350E0,4.834384918E0
4.309948076E1,6.500415703E1,2.547295903E1,6.029180785E0,1.230000019E0,4.200000000E1,6.841132164E0,4.718549728E0
4.409920873E1,6.500416268E1,2.547299010E1,6.476812465E0,1.220000029E0,4.190000153E1,6.394814491E0,4.333880424E0
4.509887592E1,6.500416465E1,2.547302153E1,6.013129638E0,1.059999943E0,6.120000076E1,6.095138550E0,4.161824703E0
4.609904415E1,6.500416461E1,2.547304258E1,5.327278940E0,5.000000000E-1,7.240000153E1,5.904637814E0,4.123902798E0
4.709886774E1,6.500417161E1,2.547305738E1,4.113715230E0,8.799999952E-1,1.950000000E1,5.833826065E0,4.193247318E0
4.809889712E1,6.500418327E1,2.547307010E1,3.613528538E0,1.029999971E0,1.100000000E1,5.998584270E0,4.282446384E0
4.909906654E1,6.500419489E1,2.547309194E1,3.326660312E0,1.169999957E0,9.699999809E0,6.327771187E0,4.275187016E0
5.009931670E1,6.500420592E1,2.547311614E1,3.100095193E0,9.800000191E-1,2.650000000E1,5.879546165E0,4.231814384E0
5.109947946E1,6.500421316E1,2.547313423E1,2.259273302E0,5.299999714E-1,1.600000000E1,5.652000904E0,4.122512341E0
5.209949972E1,6.500422372E1,2.547314485E1,1.787224099E0,1.080000043E0,5.000000000E-1,5.891186237E0,4.332961082E0
5.309926717E1,6.500423344E1,2.547315972E1,2.744801948E0,1.039999962E0,1.899999976E0,6.252954483E0,4.524801254E0
5.409936123E1,6.500424617E1,2.547319162E1,2.888659043E0,1.419999957E0,2.720000076E1,6.291156292E0,4.681802273E0
5.509949602E1,6.500425546E1,2.547321926E1,2.153977125E0,8.600000143E-1,1.820000076E1,5.534413338E0,4.436271667E0
5.609880800E1,6.500426673E1,2.547323615E1,2.721356766E0,1.110000014E0,2.099999905E0,5.558909416E0,4.398417473E0
5.709893118E1,6.500427786E1,2.547325132E1,2.973001487E0,1.149999976E0,5.800000191E0,6.144511700E0,4.689792156E0
5.809888086E1,6.500428481E1,2.547326355E1,3.518592908E0,9.599999785E-1,1.339999962E1,5.672727585E0,4.405917168E0
5.909900743E1,6.500429200E1,2.547327552E1,3.522619281E0,1.009999990E0,2.020000076E1,5.803660870E0,4.325363159E0
6.009925571E1,6.500430030E1,2.547328812E1,3.310092542E0,1.059999943E0,3.089999962E1,5.626590252E0,4.093978405E0
6.109934055E1,6.500431488E1,2.547325999E1,2.071193656E0,1.259999990E0,3.290000153E1,4.605346203E0,3.947812796E0
6.209862690E1,6.500433220E1,2.547321043E1,5.210130755E-1,1.299999952E0,3.279999924E1,3.984577894E0,3.766424179E0
6.309882508E1,6.500434759E1,2.547316777E1,-7.249671212E-1,1.269999981E0,3.390000153E1,3.790092468E0,3.592572212E0
6.409909706E1,6.500436028E1,2.547314048E1,-1.280881845E0,1.190000057E0,3.590000153E1,3.790092468E0,3.414129734E0
6.509919862E1,6.500437182E1,2.547312696E1,-1.409610201E0,1.259999990E0,3.409999847E1,3.790092468E0,3.210154772E0
6.609930956E1,6.500438497E1,2.547312226E1,-1.061898171E0,1.259999990E0,3.010000038E1,3.790092468E0,2.928614140E0
6.709947326E1,6.500439838E1,2.547312635E1,-6.361217149E-1,1.269999981E0,3.129999924E1,3.790092468E0,2.637930870E0
6.809859206E1,6.500441140E1,2.547313708E1,5.473099567E-2,1.289999962E0,3.320000076E1,3.790092468E0,2.500000000E0
6.909880023E1,6.500442341E1,2.547315279E1,8.148593070E-1,1.289999962E0,3.429999924E1,3.790092468E0,2.500000000E0
7.009893888E1,6.500443449E1,2.547316760E1,1.513159298E0,1.179999948E0,2.970000076E1,3.790092468E0,2.500000000E0
7.109906997E1,6.500444754E1,2.547317597E1,1.904146125E0,1.159999967E0,1.770000076E1,3.790092468E0,2.500000000E0
7.209889216E1,6.500446070E1,2.547318577E1,2.547574408E0,1.289999962E0,2.489999962E1,3.790092468E0,2.500000000E0
7.309862112E1,6.500447351E1,2.547319772E1,2.909936066E0,1.299999952E0,2.670000076E1,3.790092468E0,2.500000000E0
7.409935351E1,6.500448404E1,2.547321127E1,2.402669779E0,1.230000019E0,2.710000038E1,3.790092468E0,2.500000000E0
7.509906273E1,6.500449454E1,2.547322858E1,3.011065365E0,1.289999962E0,3.350000000E1,3.790092468E0,2.500000000E0
7.609934961E1,6.500450429E1,2.547324809E1,3.235733347E0,1.259999990E0,3.609999847E1,3.790092468E0,2.500000000E0
7.709952242E1,6.500451535E1,2.547326584E1,3.887036465E0,1.279999971E0,2.770000076E1,3.790092468E0,2.500000000E0
7.809882638E1,6.500452353E1,2.547328355E1,4.017466643E0,1.139999986E0,3.329999924E1,3.790092468E0,2.500000000E0
7.909901888E1,6.500452959E1,2.547331157E1,3.453379235E0,1.409999967E0,5.240000153E1,3.790092468E0,2.500000000E0
8.009918580E1,6.500453260E1,2.547335940E1,2.723827933E0,1.990000010E0,7.780000305E1,3.790092468E0,2.500000000E0
8.109933966E1,6.500453486E1,2.547341636E1,2.219497223E0,1.980000019E0,8.280000305E1,3.903180361E0,2.500000000E0
8.209859101E1,6.500453439E1,2.547348426E1,2.837055447E0,2.400000095E0,8.769999695E1,4.587129593E0,2.829859734E0
8.309954367E1,6.500453486E1,2.547351752E1,3.565084738E0,1.179999948E0,8.519999695E1,4.345278263E0,2.973979473E0
8.409880783E1,6.500454053E1,2.547354528E1,4.099569239E0,1.360000014E0,6.290000153E1,4.857219696E0,3.361727953E0
8.509882309E1,6.500454257E1,2.547357694E1,3.327231626E0,1.129999995E0,8.059999847E1,4.817406654E0,3.452222109E0
8.609878356E1,6.500454510E1,2.547360456E1,4.008506852E0,1.039999962E0,7.250000000E1,5.075142860E0,3.678494930E0
8.709896564E1,6.500455395E1,2.547363123E1,3.872702001E0,1.200000048E0,5.529999924E1,5.453124523E0,3.883590937E0
8.809875481E1,6.500456347E1,2.547365820E1,4.631245062E0,1.230000019E0,5.270000076E1,6.826528072E0,4.294908047E0
8.909889726E1,6.500456714E1,2.547368778E1,4.713520961E0,9.499999881E-1,7.019999695E1,5.960383415E0,4.337418556E0
9.009895627E1,6.500456417E1,2.547372824E1,5.106835210E0,1.049999952E0,8.459999847E1,5.749842644E0,4.345641136E0
9.109910403E1,6.500456422E1,2.547376460E1,6.127040151E0,1.049999952E0,8.469999695E1,5.985553265E0,4.507551193E0
9.209917267E1,6.500457270E1,2.547379655E1,6.141931579E0,1.450000048E0,5.620000076E1,6.303511143E0,4.835284233E0
9.309910736E1,6.500458362E1,2.547381772E1,6.901023061E0,1.299999952E0,4.490000153E1,7.257441998E0,5.143608093E0
9.409920752E1,6.500459089E1,2.547383423E1,7.903096576E0,6.800000072E-1,6.340000153E1,6.099270344E0,4.762626648E0
9.509942163E1,6.500459609E1,2.547385431E1,7.557209672E0,9.200000167E-1,7.659999847E1,6.661694527E0,4.939840794E0
9.609875903E1,6.500461063E1,2.547386880E1,6.665603565E0,1.309999943E0,4.909999847E1,6.907453537E0,4.823893547E0
9.709894653E1,6.500462906E1,2.547387903E1,7.044442499E0,1.360000014E0,3.379999924E1,6.358212471E0,4.718203068E0
9.809904022E1,6.500464834E1,2.547388382E1,6.559938481E0,1.340000033E0,2.760000038E1,7.111873627E0,4.937920570E0
9.909915330E1,6.500466261E1,2.547391096E1,7.887022251E0,1.269999981E0,3.379999924E1,6.550148487E0,4.678821564E0
1.000993686E2,6.500467609E1,2.547392632E1,6.584222752E0,1.190000057E0,3.440000153E1,6.600855827E0,4.662632942E0
1.010985631E2,6.500469106E1,2.547393397E1,5.875172199E0,1.200000048E0,2.779999924E1,7.711050510E0,4.962783813E0
1.020993567E2,6.500470349E1,2.547395175E1,6.485154013E0,1.269999981E0,4.250000000E1,8.897918701E0,4.846522808E0
1.030993361E2,6.500471285E1,2.547396911E1,7.469343497E0,1.299999952E0,5.970000076E1,8.252667427E0,4.771954060E0
1.040991973E2,6.500471781E1,2.547398451E1,7.625104336E0,9.399999976E-1,6.409999847E1,7.964353561E0,4.889743805E0
1.050993652E2,6.500472477E1,2.547400947E1,8.212627730E0,1.279999971E0,5.800000000E1,7.440474510E0,4.408673286E0
1.060985964E2,6.500473531E1,2.547402800E1,9.374062940E0,1.350000024E0,4.470000076E1,7.036584854E0,4.150851250E0
1.070986300E2,6.500474973E1,2.547402618E1,1.011105691E1,1.240000010E0,3.309999847E1,6.299987793E0,3.688494921E0
1.080993656E2,6.500476251E1,2.547402991E1,9.688017676E0,1.279999971E0,3.479999924E1,5.557152748E0,3.190704584E0
1.090994216E2,6.500477411E1,2.547403450E1,9.776270443E0,1.220000029E0,3.170000076E1,5.075246334E0,2.876261950E0
1.100986278E2,6.500478074E1,2.547403874E1,9.459129549E0,6.399999857E-1,3.139999962E1,4.877969742E0,2.671993017E0
1.110995071E2,6.500479113E1,2.547404199E1,9.497150752E0,1.210000038E0,2.629999924E1,4.704516411E0,2.500000000E0
1.120987616E2,6.500480139E1,2.547405468E1,9.446488526E0,1.230000019E0,4.120000076E1,4.479637146E0,2.500000000E0
1.130989256E2,6.500480907E1,2.547407743E1,9.921462682E0,1.210000038E0,4.720000076E1,4.429085732E0,2.500000000E0
1.140990811E2,6.500481049E1,2.547408077E1,8.880202596E0,4.499999881E-1,5.379999924E1,4.433556080E0,2.500000000E0
1.150991389E2,6.500480830E1,2.547407509E1,7.948928642E0,0.000000000E0,NaN,4.494587898E0,2.638547659E0
1.160993653E2,6.500480740E1,2.547408420E1,7.389176146E0,6.999999881E-1,8.130000305E1,4.648661613E0,2.899470568E0
1.170993895E2,6.500480847E1,2.547410892E1,8.470170981E0,1.070000052E0,7.259999847E1,4.772316933E0,3.124223948E0
1.180985568E2,6.500481630E1,2.547412929E1,7.593887604E0,1.340000033E0,4.920000076E1,4.860872269E0,3.208540440E0
1.190987507E2,6.500482736E1,2.547414448E1,7.451977680E0,1.139999986E0,4.020000076E1,5.017253876E0,3.304175377E0
1.200989555E2,6.500483669E1,2.547415607E1,8.086374329E0,8.000000119E-1,2.489999962E1,5.105056763E0,3.488701820E0
